t, x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
3.200,0.000, -0.106, -0.205, -0.278, -0.385, -0.509, -0.558, -0.591, -0.625, -0.630, -0.636, -0.630, -0.625, -0.591, -0.558, -0.509, -0.385, -0.278, -0.205, -0.106, 0.000
3.225,0.000, -0.111, -0.208, -0.269, -0.383, -0.486, -0.551, -0.563, -0.584, -0.565, -0.550, -0.565, -0.584, -0.563, -0.551, -0.486, -0.383, -0.269, -0.208, -0.111, 0.000
3.250,0.000, -0.113, -0.202, -0.272, -0.378, -0.455, -0.531, -0.537, -0.534, -0.502, -0.472, -0.502, -0.534, -0.537, -0.531, -0.455, -0.378, -0.272, -0.202, -0.113, 0.000
3.275,0.000, -0.109, -0.191, -0.285, -0.367, -0.423, -0.493, -0.508, -0.476, -0.439, -0.408, -0.439, -0.476, -0.508, -0.493, -0.423, -0.367, -0.285, -0.191, -0.109, 0.000
3.300,0.000, -0.098, -0.183, -0.294, -0.348, -0.394, -0.442, -0.468, -0.417, -0.378, -0.360, -0.378, -0.417, -0.468, -0.442, -0.394, -0.348, -0.294, -0.183, -0.098, 0.000
3.325,0.000, -0.084, -0.182, -0.289, -0.328, -0.367, -0.385, -0.408, -0.361, -0.322, -0.320, -0.322, -0.361, -0.408, -0.385, -0.367, -0.328, -0.289, -0.182, -0.084, 0.000
3.350,0.000, -0.073, -0.183, -0.268, -0.308, -0.334, -0.330, -0.331, -0.307, -0.275, -0.282, -0.275, -0.307, -0.331, -0.330, -0.334, -0.308, -0.268, -0.183, -0.073, 0.000
3.375,0.000, -0.072, -0.178, -0.235, -0.284, -0.293, -0.275, -0.247, -0.251, -0.238, -0.240, -0.238, -0.251, -0.247, -0.275, -0.293, -0.284, -0.235, -0.178, -0.072, 0.000
3.400,0.000, -0.079, -0.160, -0.200, -0.250, -0.246, -0.219, -0.172, -0.191, -0.205, -0.197, -0.205, -0.191, -0.172, -0.219, -0.246, -0.250, -0.200, -0.160, -0.079, 0.000
3.425,0.000, -0.087, -0.132, -0.168, -0.203, -0.193, -0.157, -0.113, -0.130, -0.166, -0.159, -0.166, -0.130, -0.113, -0.157, -0.193, -0.203, -0.168, -0.132, -0.087, 0.000
3.450,0.000, -0.084, -0.102, -0.135, -0.144, -0.133, -0.093, -0.069, -0.073, -0.117, -0.124, -0.117, -0.073, -0.069, -0.093, -0.133, -0.144, -0.135, -0.102, -0.084, 0.000
3.475,0.000, -0.065, -0.075, -0.097, -0.081, -0.066, -0.034, -0.032, -0.026, -0.058, -0.086, -0.058, -0.026, -0.032, -0.034, -0.066, -0.081, -0.097, -0.075, -0.065, 0.000
3.500,0.000, -0.032, -0.052, -0.049, -0.018, 0.005, 0.018, 0.005, 0.011, 0.002, -0.033, 0.002, 0.011, 0.005, 0.018, 0.005, -0.018, -0.049, -0.052, -0.032, 0.000
3.525,0.000, 0.004, -0.023, 0.006, 0.043, 0.074, 0.064, 0.048, 0.045, 0.055, 0.037, 0.055, 0.045, 0.048, 0.064, 0.074, 0.043, 0.006, -0.023, 0.004, 0.000
3.550,0.000, 0.032, 0.020, 0.063, 0.103, 0.133, 0.108, 0.093, 0.082, 0.101, 0.116, 0.101, 0.082, 0.093, 0.108, 0.133, 0.103, 0.063, 0.020, 0.032, 0.000
3.575,0.000, 0.050, 0.077, 0.120, 0.160, 0.178, 0.155, 0.140, 0.127, 0.146, 0.188, 0.146, 0.127, 0.140, 0.155, 0.178, 0.160, 0.120, 0.077, 0.050, 0.000
3.600,0.000, 0.061, 0.138, 0.175, 0.212, 0.212, 0.204, 0.187, 0.179, 0.196, 0.239, 0.196, 0.179, 0.187, 0.204, 0.212, 0.212, 0.175, 0.138, 0.061, 0.000
3.625,0.000, 0.077, 0.188, 0.231, 0.254, 0.244, 0.251, 0.236, 0.238, 0.253, 0.269, 0.253, 0.238, 0.236, 0.251, 0.244, 0.254, 0.231, 0.188, 0.077, 0.000
3.650,0.000, 0.101, 0.222, 0.281, 0.289, 0.280, 0.292, 0.289, 0.300, 0.310, 0.291, 0.310, 0.300, 0.289, 0.292, 0.280, 0.289, 0.281, 0.222, 0.101, 0.000
3.675,0.000, 0.130, 0.240, 0.319, 0.319, 0.322, 0.330, 0.346, 0.362, 0.360, 0.323, 0.360, 0.362, 0.346, 0.330, 0.322, 0.319, 0.319, 0.240, 0.130, 0.000
3.700,0.000, 0.154, 0.250, 0.337, 0.350, 0.364, 0.370, 0.403, 0.419, 0.401, 0.373, 0.401, 0.419, 0.403, 0.370, 0.364, 0.350, 0.337, 0.250, 0.154, 0.000
3.725,0.000, 0.164, 0.258, 0.337, 0.381, 0.405, 0.417, 0.456, 0.468, 0.439, 0.437, 0.439, 0.468, 0.456, 0.417, 0.405, 0.381, 0.337, 0.258, 0.164, 0.000
3.750,0.000, 0.156, 0.262, 0.328, 0.407, 0.443, 0.470, 0.502, 0.506, 0.485, 0.502, 0.485, 0.506, 0.502, 0.470, 0.443, 0.407, 0.328, 0.262, 0.156, 0.000
3.775,0.000, 0.136, 0.256, 0.323, 0.422, 0.479, 0.525, 0.541, 0.538, 0.540, 0.559, 0.540, 0.538, 0.541, 0.525, 0.479, 0.422, 0.323, 0.256, 0.136, 0.000
3.800,0.000, 0.112, 0.236, 0.326, 0.426, 0.512, 0.572, 0.575, 0.571, 0.599, 0.606, 0.599, 0.571, 0.575, 0.572, 0.512, 0.426, 0.326, 0.236, 0.112, 0.000
3.825,0.000, 0.091, 0.208, 0.331, 0.427, 0.539, 0.604, 0.608, 0.612, 0.653, 0.649, 0.653, 0.612, 0.608, 0.604, 0.539, 0.427, 0.331, 0.208, 0.091, 0.000
3.850,0.000, 0.076, 0.181, 0.330, 0.431, 0.554, 0.622, 0.640, 0.662, 0.696, 0.695, 0.696, 0.662, 0.640, 0.622, 0.554, 0.431, 0.330, 0.181, 0.076, 0.000
3.875,0.000, 0.069, 0.165, 0.317, 0.441, 0.555, 0.627, 0.674, 0.715, 0.730, 0.741, 0.730, 0.715, 0.674, 0.627, 0.555, 0.441, 0.317, 0.165, 0.069, 0.000
3.900,0.000, 0.069, 0.163, 0.297, 0.449, 0.546, 0.626, 0.706, 0.762, 0.763, 0.782, 0.763, 0.762, 0.706, 0.626, 0.546, 0.449, 0.297, 0.163, 0.069, 0.000
3.925,0.000, 0.075, 0.171, 0.281, 0.442, 0.532, 0.625, 0.732, 0.795, 0.801, 0.813, 0.801, 0.795, 0.732, 0.625, 0.532, 0.442, 0.281, 0.171, 0.075, 0.000
3.950,0.000, 0.086, 0.182, 0.279, 0.418, 0.519, 0.628, 0.747, 0.813, 0.840, 0.839, 0.840, 0.813, 0.747, 0.628, 0.519, 0.418, 0.279, 0.182, 0.086, 0.000
3.975,0.000, 0.100, 0.193, 0.287, 0.385, 0.508, 0.633, 0.749, 0.822, 0.872, 0.864, 0.872, 0.822, 0.749, 0.633, 0.508, 0.385, 0.287, 0.193, 0.100, 0.000
4.000,0.000, 0.112, 0.204, 0.296, 0.357, 0.497, 0.636, 0.740, 0.825, 0.890, 0.894, 0.890, 0.825, 0.740, 0.636, 0.497, 0.357, 0.296, 0.204, 0.112, 0.000
4.025,0.000, 0.120, 0.216, 0.298, 0.350, 0.486, 0.631, 0.726, 0.822, 0.892, 0.921, 0.892, 0.822, 0.726, 0.631, 0.486, 0.350, 0.298, 0.216, 0.120, 0.000
4.050,0.000, 0.121, 0.223, 0.292, 0.363, 0.477, 0.613, 0.713, 0.814, 0.885, 0.934, 0.885, 0.814, 0.713, 0.613, 0.477, 0.363, 0.292, 0.223, 0.121, 0.000
4.075,0.000, 0.118, 0.223, 0.287, 0.387, 0.473, 0.586, 0.700, 0.797, 0.872, 0.922, 0.872, 0.797, 0.700, 0.586, 0.473, 0.387, 0.287, 0.223, 0.118, 0.000
4.100,0.000, 0.111, 0.212, 0.291, 0.408, 0.476, 0.560, 0.682, 0.775, 0.853, 0.885, 0.853, 0.775, 0.682, 0.560, 0.476, 0.408, 0.291, 0.212, 0.111, 0.000
4.125,0.000, 0.102, 0.195, 0.304, 0.416, 0.483, 0.543, 0.658, 0.749, 0.823, 0.832, 0.823, 0.749, 0.658, 0.543, 0.483, 0.416, 0.304, 0.195, 0.102, 0.000
4.150,0.000, 0.091, 0.183, 0.318, 0.413, 0.488, 0.540, 0.627, 0.719, 0.777, 0.774, 0.777, 0.719, 0.627, 0.540, 0.488, 0.413, 0.318, 0.183, 0.091, 0.000
4.175,0.000, 0.080, 0.181, 0.323, 0.405, 0.487, 0.546, 0.598, 0.680, 0.715, 0.717, 0.715, 0.680, 0.598, 0.546, 0.487, 0.405, 0.323, 0.181, 0.080, 0.000
4.200,0.000, 0.074, 0.190, 0.312, 0.397, 0.481, 0.550, 0.576, 0.629, 0.646, 0.660, 0.646, 0.629, 0.576, 0.550, 0.481, 0.397, 0.312, 0.190, 0.074, 0.000
4.225,0.000, 0.079, 0.200, 0.292, 0.389, 0.471, 0.543, 0.561, 0.569, 0.575, 0.595, 0.575, 0.569, 0.561, 0.543, 0.471, 0.389, 0.292, 0.200, 0.079, 0.000
4.250,0.000, 0.094, 0.203, 0.273, 0.377, 0.458, 0.523, 0.544, 0.509, 0.509, 0.521, 0.509, 0.509, 0.544, 0.523, 0.458, 0.377, 0.273, 0.203, 0.094, 0.000
4.275,0.000, 0.113, 0.196, 0.263, 0.359, 0.441, 0.492, 0.512, 0.457, 0.445, 0.440, 0.445, 0.457, 0.512, 0.492, 0.441, 0.359, 0.263, 0.196, 0.113, 0.000
4.300,0.000, 0.124, 0.186, 0.260, 0.338, 0.417, 0.453, 0.462, 0.416, 0.383, 0.362, 0.383, 0.416, 0.462, 0.453, 0.417, 0.338, 0.260, 0.186, 0.124, 0.000
4.325,0.000, 0.120, 0.178, 0.258, 0.317, 0.381, 0.407, 0.398, 0.378, 0.324, 0.295, 0.324, 0.378, 0.398, 0.407, 0.381, 0.317, 0.258, 0.178, 0.120, 0.000
4.350,0.000, 0.100, 0.176, 0.251, 0.297, 0.336, 0.353, 0.331, 0.332, 0.272, 0.242, 0.272, 0.332, 0.331, 0.353, 0.336, 0.297, 0.251, 0.176, 0.100, 0.000
4.375,0.000, 0.074, 0.173, 0.237, 0.275, 0.286, 0.289, 0.270, 0.270, 0.226, 0.204, 0.226, 0.270, 0.270, 0.289, 0.286, 0.275, 0.237, 0.173, 0.074, 0.000
4.400,0.000, 0.054, 0.162, 0.216, 0.247, 0.234, 0.220, 0.214, 0.198, 0.187, 0.177, 0.187, 0.198, 0.214, 0.220, 0.234, 0.247, 0.216, 0.162, 0.054, 0.000
4.425,0.000, 0.048, 0.137, 0.190, 0.207, 0.181, 0.152, 0.155, 0.126, 0.147, 0.155, 0.147, 0.126, 0.155, 0.152, 0.181, 0.207, 0.190, 0.137, 0.048, 0.000
4.450,0.000, 0.052, 0.104, 0.155, 0.157, 0.128, 0.093, 0.088, 0.067, 0.105, 0.129, 0.105, 0.067, 0.088, 0.093, 0.128, 0.157, 0.155, 0.104, 0.052, 0.000
4.475,0.000, 0.056, 0.070, 0.107, 0.099, 0.073, 0.041, 0.017, 0.023, 0.059, 0.091, 0.059, 0.023, 0.017, 0.041, 0.073, 0.099, 0.107, 0.070, 0.056, 0.000
4.500,0.000, 0.049, 0.042, 0.048, 0.036, 0.017, -0.009, -0.046, -0.014, 0.012, 0.037, 0.012, -0.014, -0.046, -0.009, 0.017, 0.036, 0.048, 0.042, 0.049, 0.000
4.525,0.000, 0.028, 0.017, -0.016, -0.028, -0.041, -0.062, -0.092, -0.052, -0.035, -0.030, -0.035, -0.052, -0.092, -0.062, -0.041, -0.028, -0.016, 0.017, 0.028, 0.000
4.550,0.000, -0.002, -0.013, -0.074, -0.093, -0.101, -0.117, -0.121, -0.096, -0.085, -0.099, -0.085, -0.096, -0.121, -0.117, -0.101, -0.093, -0.074, -0.013, -0.002, 0.000
4.575,0.000, -0.035, -0.055, -0.122, -0.155, -0.162, -0.169, -0.142, -0.144, -0.142, -0.161, -0.142, -0.144, -0.142, -0.169, -0.162, -0.155, -0.122, -0.055, -0.035, 0.000
4.600,0.000, -0.064, -0.110, -0.161, -0.210, -0.224, -0.213, -0.171, -0.190, -0.204, -0.214, -0.204, -0.190, -0.171, -0.213, -0.224, -0.210, -0.161, -0.110, -0.064, 0.000
4.625,0.000, -0.088, -0.165, -0.200, -0.257, -0.279, -0.249, -0.215, -0.235, -0.265, -0.261, -0.265, -0.235, -0.215, -0.249, -0.279, -0.257, -0.200, -0.165, -0.088, 0.000
4.650,0.000, -0.110, -0.210, -0.244, -0.295, -0.321, -0.284, -0.272, -0.282, -0.317, -0.310, -0.317, -0.282, -0.272, -0.284, -0.321, -0.295, -0.244, -0.210, -0.110, 0.000
4.675,0.000, -0.129, -0.239, -0.293, -0.327, -0.348, -0.325, -0.335, -0.336, -0.360, -0.363, -0.360, -0.336, -0.335, -0.325, -0.348, -0.327, -0.293, -0.239, -0.129, 0.000
4.700,0.000, -0.144, -0.254, -0.337, -0.355, -0.363, -0.375, -0.396, -0.395, -0.397, -0.414, -0.397, -0.395, -0.396, -0.375, -0.363, -0.355, -0.337, -0.254, -0.144, 0.000
4.725,0.000, -0.149, -0.261, -0.364, -0.381, -0.380, -0.427, -0.451, -0.455, -0.438, -0.456, -0.438, -0.455, -0.451, -0.427, -0.380, -0.381, -0.364, -0.261, -0.149, 0.000
4.750,0.000, -0.146, -0.267, -0.370, -0.402, -0.408, -0.473, -0.501, -0.510, -0.488, -0.489, -0.488, -0.510, -0.501, -0.473, -0.408, -0.402, -0.370, -0.267, -0.146, 0.000
4.775,0.000, -0.136, -0.268, -0.358, -0.417, -0.452, -0.510, -0.546, -0.557, -0.544, -0.521, -0.544, -0.557, -0.546, -0.510, -0.452, -0.417, -0.358, -0.268, -0.136, 0.000
4.800,0.000, -0.125, -0.259, -0.339, -0.426, -0.501, -0.542, -0.585, -0.598, -0.597, -0.565, -0.597, -0.598, -0.585, -0.542, -0.501, -0.426, -0.339, -0.259, -0.125, 0.000
4.825,0.000, -0.117, -0.236, -0.321, -0.431, -0.542, -0.574, -0.616, -0.635, -0.643, -0.624, -0.643, -0.635, -0.616, -0.574, -0.542, -0.431, -0.321, -0.236, -0.117, 0.000
4.850,0.000, -0.108, -0.205, -0.309, -0.437, -0.563, -0.608, -0.641, -0.670, -0.682, -0.693, -0.682, -0.670, -0.641, -0.608, -0.563, -0.437, -0.309, -0.205, -0.108, 0.000
4.875,0.000, -0.097, -0.176, -0.304, -0.442, -0.564, -0.640, -0.666, -0.701, -0.721, -0.756, -0.721, -0.701, -0.666, -0.640, -0.564, -0.442, -0.304, -0.176, -0.097, 0.000
4.900,0.000, -0.081, -0.159, -0.301, -0.443, -0.554, -0.659, -0.692, -0.728, -0.764, -0.802, -0.764, -0.728, -0.692, -0.659, -0.554, -0.443, -0.301, -0.159, -0.081, 0.000
4.925,0.000, -0.064, -0.158, -0.298, -0.436, -0.542, -0.660, -0.719, -0.755, -0.807, -0.828, -0.807, -0.755, -0.719, -0.660, -0.542, -0.436, -0.298, -0.158, -0.064, 0.000
4.950,0.000, -0.055, -0.169, -0.294, -0.421, -0.533, -0.646, -0.740, -0.786, -0.843, -0.844, -0.843, -0.786, -0.740, -0.646, -0.533, -0.421, -0.294, -0.169, -0.055, 0.000
4.975,0.000, -0.060, -0.183, -0.291, -0.402, -0.525, -0.628, -0.749, -0.820, -0.864, -0.859, -0.864, -0.820, -0.749, -0.628, -0.525, -0.402, -0.291, -0.183, -0.060, 0.000

